Name,Phone,Website,Address,Source,Created At
Restaurant Facil,+49 30 590051234,https://facil.de/de/,"Potsdamer Str. 3, 10785 Berlin, Germany",google_maps_multi,2026-02-08T19:37:50.126Z
Restaurant Trattoria Portofino,+49 30 23910610,http://www.portofino-trattoria.de/,"Gubener Str. 48, 10243 Berlin, Germany",google_maps_multi,2026-02-08T19:37:52.907Z
LOUMI,,https://www.loumi-dining.com/,"Ritterstraße 2, 10969 Berlin, Germany",google_maps_multi,2026-02-08T19:37:55.009Z
Nante-Eck | Restaurant Berlin Mitte,+49 30 22487257,https://www.nante-eck.de/,"Unter den Linden 35, 10117 Berlin, Germany",google_maps_multi,2026-02-08T19:37:57.375Z
Ristorante Bocca Felice Berlin-Mitte,+49 30 20977998,http://www.bocca-felice.de/,"Seydelstraße 16, 10117 Berlin, Germany",google_maps_multi,2026-02-08T19:37:59.766Z
Gujrat Spice Restaurant,+49 30 41500557,https://shop.gujrat.de/,"Rathenower Str. 6, 10559 Berlin, Germany",google_maps_multi,2026-02-08T19:38:01.875Z
IMAYA Restaurant,+49 160 5441331,https://imaya.berlin/,"Auguststraße 91, 10117 Berlin, Germany",google_maps_multi,2026-02-08T19:38:04.183Z
BLESS Restaurant,+49 30 20619795,https://bless-restaurants.com/,"Hausvogteipl. 10, 10117 Berlin, Germany",google_maps_multi,2026-02-08T19:38:06.191Z
A Mano,+49 30 95598243,http://www.amano-ristorante.de/,"Strausberger Pl. 2, 10243 Berlin, Germany",google_maps_multi,2026-02-08T19:38:08.938Z
Avocado Club,+49 30 22325570,https://www.avocadoclub-berlin.com/,"Dircksenstraße 47, 10178 Berlin, Germany",google_maps_multi,2026-02-08T19:38:11.525Z